country,year,award_category,rank_no,score,process,total_value,weight_kg,acidity_str_agg,aroma_flavor_str_agg,other_str_agg,overall_str_agg,characteristics_str_agg
costa-rica,2009,coe,5,88.85,,23506.23,,"orange,juicy,refined,well balanced","sweet,caramel,chocolate,bakers chocolate,creamy lemon pie,tobacco,dark cherries","full,smooth mouthfeel,complete,complex","full,smooth mouthfeel,complete,complex","full,smooth mouthfeel,complete,complex"
costa-rica,2009,coe,14,84.67,,15332.63,,"elegant,crisp,well structured","black currant,licorice,chocolate,melon,ripe blackberries","white wine grapes,honey,sparkling,rich body","white wine grapes,honey,sparkling,rich body","white wine grapes,honey,sparkling,rich body"
costa-rica,2011,coe,26,84.66,,12022.56,,"citric,nicely developed but delicate","caramel,melon,banana,green apple,caramel hazelnut chocolate","nice chocolate aftertaste,balanced coffee","nice chocolate aftertaste,balanced coffee","nice chocolate aftertaste,balanced coffee"
costa-rica,2011,coe,31,84.22,,13358.4,,"lemon,citrus,nice tartness","juicy,lemon,caramel,sweet crackers,orange","juicy,good finish,sweet","juicy,good finish,sweet","juicy,good finish,sweet"
costa-rica,2011,coe,17,85.53,,11612.7,,"refined,fresh plums,orange crisp,lively","sugar cane,big cup,soft,caramel,almonds,chocolate,melon","body,sweetness,creamy mouthfeel,delicate,chocolate aftertaste to the end,buttery","body,sweetness,creamy mouthfeel,delicate,chocolate aftertaste to the end,buttery","body,sweetness,creamy mouthfeel,delicate,chocolate aftertaste to the end,buttery"
costa-rica,2011,coe,21,85.44,,12144,,"subtle,smooth,yogurt malic,red apple,refined","semi,sweet chocolate,german chocolate cake,subtle cherry blackcurrant,red berries,plums,cranberry fruity","well integrated,caramel aftertaste","well integrated,caramel aftertaste","well integrated,caramel aftertaste"
costa-rica,2011,coe,22,85.25,,12447.6,,"grapefruit,stiff,firm","orange,ripe peach with fuzz,nutella,chocolate,apricot,tangerine marmalade,grape","buttery mouthfeel,smooth,cocoa","buttery mouthfeel,smooth,cocoa","buttery mouthfeel,smooth,cocoa"
costa-rica,2011,coe,10,87.68,,17077.5,,"restrained acidity,refined lemon gentle,sweet tangy","persimmon,blueberry,vanilla,caramel,jasmine,marzipan sweetness,fantastic fragrance,apple blossom,jasmine,lemon,cherries,black currant","sweet tangy aftertaste,soft body chocolate,buttery mouthfeel,cocoa aftertaste,lingering,structured","sweet tangy aftertaste,soft body chocolate,buttery mouthfeel,cocoa aftertaste,lingering,structured","sweet tangy aftertaste,soft body chocolate,buttery mouthfeel,cocoa aftertaste,lingering,structured"
costa-rica,2011,coe,13,86.09,,11385,,"elegant,citric vibrant,crisp","rum,caramel,butterscotch,hazelnuts,baker chocolate,raisin,red berries,floral,black pepper","creamy,juicy,very transparent,raspberry,sweet aftertaste","creamy,juicy,very transparent,raspberry,sweet aftertaste","creamy,juicy,very transparent,raspberry,sweet aftertaste"
costa-rica,2011,coe,30,84.34,,12022.56,,"crisp,delicate,apple","brown sugar,toffee,grape juice,sour cherry,sour apple candy","silky,smooth aftertaste,sugary,round finish","silky,smooth aftertaste,sugary,round finish","silky,smooth aftertaste,sugary,round finish"
costa-rica,2011,coe,12,86.13,,12523.5,,"supportive delicate,bubbly","root beer,gingerbread,apple,lemon,sugar,soft lime,fruit,honey aroma","balanced,creamy mouthfeel,vanilla aftertaste,harmonious good all the way through","balanced,creamy mouthfeel,vanilla aftertaste,harmonious good all the way through","balanced,creamy mouthfeel,vanilla aftertaste,harmonious good all the way through"
costa-rica,2011,coe,5,88.59,,17760.6,,"soft,citric refined,delicate,all the way through","mango,blackberry,milk chocolate,apricot,christmas cake,plum tangerine peach,fresh white fruit","milk chocolate,aftertaste,very sweet,and clean,when cool,black tea,with milk,silky,well balanced","milk chocolate,aftertaste,very sweet,and clean,when cool,black tea,with milk,silky,well balanced","milk chocolate,aftertaste,very sweet,and clean,when cool,black tea,with milk,silky,well balanced"
costa-rica,2011,coe,9,87.74,,16166.7,,"supportive,lush,refined","vanilla,cinnamon,lily of the valley,caramel,mandarin,orange zest,spicy,grape,milk chocolate,honey,fresh fruit,floral aroma","creamy,sweet,clean finish,grapefruit,smooth,creamy,sweet finish,juicy","creamy,sweet,clean finish,grapefruit,smooth,creamy,sweet finish,juicy","creamy,sweet,clean finish,grapefruit,smooth,creamy,sweet finish,juicy"
costa-rica,2011,coe,19,85.53,,14117.4,,"citric acid,apple,crisp","fresh cocoa fresh fruit,peach,sweet,stone fruit,aroma,green tea,jasmine","silky mouthfeel,velvety,round body,balanced","silky mouthfeel,velvety,round body,balanced","silky mouthfeel,velvety,round body,balanced"
costa-rica,2011,coe,28,84.56,,10838.52,,"lively,pleasant refined","chocolate,intense,butter cream,dark chocolate,citric mandarin,orange,chocolate floral","creamy,solid mouthfeel,long,lingering aftertaste,soft caramel,cocoa aftertaste","creamy,solid mouthfeel,long,lingering aftertaste,soft caramel,cocoa aftertaste","creamy,solid mouthfeel,long,lingering aftertaste,soft caramel,cocoa aftertaste"
costa-rica,2011,coe,7,87.85,,16166.7,,"soft,bright,tartness","cherry raspberry,apple,apricot,floral,jasmine,spice","sweet finish,peach,good structure","sweet finish,peach,good structure","sweet finish,peach,good structure"
costa-rica,2011,coe,1,90.38,,45540,,"lively,structured,bright,elegant,refined","pear,sherry,floral,fruit,strawberry rhubarb,mango,chocolate,tangerine,cedar,caramel,lemon grass","creamy texture,buttery,milk chocolate,aftertaste,merlot,long finish,expansive,multidimensional complex","creamy texture,buttery,milk chocolate,aftertaste,merlot,long finish,expansive,multidimensional complex","creamy texture,buttery,milk chocolate,aftertaste,merlot,long finish,expansive,multidimensional complex"
costa-rica,2011,coe,16,85.59,,24151.38,,"lemon incandescent,structured","strawberry kiwi,milk chocolate,pear caramel,passion fruit,cocoa,baked apple,muscat","buttery,silky mouth feel,sweet,well balanced","buttery,silky mouth feel,sweet,well balanced","buttery,silky mouth feel,sweet,well balanced"
costa-rica,2011,coe,11,86.16,,20037.6,,"sherbet,fizzy,sweet orange,crisp apple refined","black currant,honey,jasmine,apricot,lemon,vanilla,tangerine,raisin,brown sugar,sweet butterscotch","sweet sour juicy aftertaste,creamy mouthfeel","sweet sour juicy aftertaste,creamy mouthfeel","sweet sour juicy aftertaste,creamy mouthfeel"
costa-rica,2011,coe,27,84.63,,9563.4,,"very balanced,solid acidity","milk chocolate,orange and citrus apricot raisin,winy,toffee caramel,baked sugar,blackcurrant,cane sugar","long,sweet finish,creamy mouthfeel,refined sweetness","long,sweet finish,creamy mouthfeel,refined sweetness","long,sweet finish,creamy mouthfeel,refined sweetness"
costa-rica,2011,coe,6,88.32,,37191,,"transcendent,crisp bright orange","plums,chocolate root beer,lemon,pineapple,coffee flower warming spice","velvety mouthfeel,clean and sweet all the way through,simple,sweet lemon,definable","velvety mouthfeel,clean and sweet all the way through,simple,sweet lemon,definable","velvety mouthfeel,clean and sweet all the way through,simple,sweet lemon,definable"
costa-rica,2011,coe,24,85.03,,10018.8,,"well refined bubbly,citric,green apple","chocolate,caramel,honey,butterscotch,raisin,vanilla,red apple","creamy body,velvety,silky,smooth round very rich aftertaste,dark chocolate","creamy body,velvety,silky,smooth round very rich aftertaste,dark chocolate","creamy body,velvety,silky,smooth round very rich aftertaste,dark chocolate"
costa-rica,2011,coe,25,84.88,,12144,,"bright,lively,red apple,sweet,well composed","pineapple,cinnamon,orange,floral,vanilla,anise","soft rounded,long finish,caramel,honey aftertaste","soft rounded,long finish,caramel,honey aftertaste","soft rounded,long finish,caramel,honey aftertaste"
costa-rica,2011,coe,4,88.62,,18064.2,,"delicate,crisp,lively,elegant","good aroma,milk chocolate,gentle cedar clove,spice tone,pepper,black tea,and,black currant","nicely balanced with fruit tones,cherry finish,hardy red undertone balanced,velvety mouthfeel,sweet and pepper aftertaste","nicely balanced with fruit tones,cherry finish,hardy red undertone balanced,velvety mouthfeel,sweet and pepper aftertaste","nicely balanced with fruit tones,cherry finish,hardy red undertone balanced,velvety mouthfeel,sweet and pepper aftertaste"
costa-rica,2011,coe,18,85.53,,27096.3,,"bright,well developed,sweet","blueberry,caramel,strawberries,orange,buttered toast,black cherry,chocolate,black currant,walnuts,orange chocolate","lime finish,round,sweet all the way through","lime finish,round,sweet all the way through","lime finish,round,sweet all the way through"
costa-rica,2011,coe,14,86.06,,11385,,"citrus tangy,lemony clean clear citrus lively,juicy lingering","lime jelly marmalade,citrusy,subtle sweetness,red berries,milk chocolate,caramel,lemony honey","chocolate aftertaste,buttery,creamy mouthfeel,red apples,elegant,long aftertaste","chocolate aftertaste,buttery,creamy mouthfeel,red apples,elegant,long aftertaste","chocolate aftertaste,buttery,creamy mouthfeel,red apples,elegant,long aftertaste"
costa-rica,2011,coe,20,85.44,,13388.76,,"lively,grape,balanced with sweetness,well structured,citric","cream brulee,caramel,chocolate,sugar cane,cinnamon,apple,pinot noir,black tea","creamy,well balanced","creamy,well balanced","creamy,well balanced"
